;Nr serie;Calibre;Modelo;Fabricante;Classificação;Outros
0;203932;7,62 MM;FAL M964;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta:203932 Nº serie: Ferrolho e Impulssor do Ferrolho: 203932 Nº serie: Cano: Não Tem Nº serie: Baioneta: 203932
1;166402;7,62 MM;FAL M964;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 166402 Nº serie: Ferrolho e Impulssor do Ferrolho: 166402 Nº serie: Cano: Não Tem Nº serie: Baioneta: 166402
2;103327;7,62 MM;FAL M964;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 103327 Nº serie: Ferrolho e Impulssor do Ferrolho: 103327 Nº serie: Cano: 103327 Nº serie: Baioneta: 103327
3;166407;7,62 MM;FAL M964;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 166407 Nº serie: Ferrolho e Impulssor do Ferrolho: 166407 Nº serie: Cano: Não Tem Nº serie: Baioneta: 166407
4;117731;7,62 MM;FAL M964;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 117731 Nº serie: Ferrolho e Impulssor do Ferrolho: 117731 Nº serie: Cano: Não Tem Nº serie: Baioneta: 117731
5;202777;7,62 MM;FAL M964;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 202777 Nº serie: Ferrolho e Impulssor do Ferrolho: 202777 Nº serie: Cano: 202777 Nº serie: Baioneta: 202777
6;137197;7,62 MM;FAL M964;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 137197 Nº serie: Ferrolho e Impulssor do Ferrolho: 137197 Nº serie: Cano: Não Tem Nº serie: Baioneta: 137197
7;281026;7,62 MM;FAL M964;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 281026 Nº serie: Ferrolho e Impulssor do Ferrolho: 281026 Nº serie: Cano: Não Tem Nº serie: Baioneta: 281026
8;277087;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 277087 Nº serie: Ferrolho e Impulssor do Ferrolho: 277087 Nº serie: Cano: 277087 Nº serie: Baioneta: 277087
9;150567;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 150567 Nº serie: Ferrolho e Impulssor do Ferrolho: 150567 Nº serie: Cano: 150567 Nº serie: Baioneta: 150567
10;168728;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 168728 Nº serie: Ferrolho e Impulssor do Ferrolho: 168728 Nº serie: Cano: 168728 Nº serie: Baioneta: 168728
11;196809;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 196809 Nº serie: Ferrolho e Impulssor do Ferrolho: 196809 Nº serie: Cano: 196809 Nº serie: Baioneta: 196809
12;160735;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 160735 Nº serie: Ferrolho e Impulssor do Ferrolho: 160735 Nº serie: Cano: 160735 Nº serie: Baioneta: 160735
13;186959;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 186959 Nº serie: Ferrolho e Impulssor do Ferrolho: 186959 Nº serie: Cano: 186959 Nº serie: Baioneta: 186959
14;188287;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 188287 Nº serie: Ferrolho e Impulssor do Ferrolho: 188287 Nº serie: Cano: 188287 Nº serie: Baioneta: 188287
15;160746;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 160746 Nº serie: Ferrolho e Impulssor do Ferrolho: 160746 Nº serie: Cano: 160746 Nº serie: Baioneta: 160746
16;163762;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 163762 Nº serie: Ferrolho e Impulssor do Ferrolho: 163762 Nº serie: Cano: 163762 Nº serie: Baioneta: 163762
17;163042;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 163042 Nº serie: Ferrolho e Impulssor do Ferrolho: 163042 Nº serie: Cano: 163042 Nº serie: Baioneta: 163042
18;278181;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 278181 Nº serie: Ferrolho e Impulssor do Ferrolho: 278181 Nº serie: Cano: 278181 Nº serie: Baioneta: 278181
19;151283;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 151283 Nº serie: Ferrolho e Impulssor do Ferrolho: 151283 Nº serie: Cano: 151283 Nº serie: Baioneta: 151283
20;177417;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta:177417 Nº serie: Ferrolho e Impulssor do Ferrolho: 177417 Nº serie: Cano: 177417 Nº serie: Baioneta: 177417
21;190026;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 190026 Nº serie: Ferrolho e Impulssor do Ferrolho: 190026 Nº serie: Cano: 190026 Nº serie: Baioneta: 190026
22;162242;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 162242 Nº serie: Ferrolho e Impulssor do Ferrolho: 162242 Nº serie: Cano: 162242 Nº serie: Baioneta: 162242
23;131747;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 131747 Nº serie: Ferrolho e Impulssor do Ferrolho: 131747 Nº serie: Cano: 131747 Nº serie: Baioneta: 131747
24;177554;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 177554 Nº serie: Ferrolho e Impulssor do Ferrolho: 177554 Nº serie: Cano: 177554 Nº serie: Baioneta: 177554
25;195754;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 195754 Nº serie: Ferrolho e Impulssor do Ferrolho: 195754 Nº serie: Cano: 195754 Nº serie: Baioneta: 195754
26;142837;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 142837 Nº serie: Ferrolho e Impulssor do Ferrolho: 142837 Nº serie: Cano: 142837 Nº serie: Baioneta: 142837
27;136799;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 136799 Nº serie: Ferrolho e Impulssor do Ferrolho: 136799 Nº serie: Cano: 136799 Nº serie: Baioneta: 136799
28;130691;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 130691 Nº serie: Ferrolho e Impulssor do Ferrolho: 130691 Nº serie: Cano: 130691 Nº serie: Baioneta: 130691
29;177686;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 177686 Nº serie: Ferrolho e Impulssor do Ferrolho: 177686 Nº serie: Cano: 177686 Nº serie: Baioneta: 177686
30;186291;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 186291 Nº serie: Ferrolho e Impulssor do Ferrolho: 186291 Nº serie: Cano: 186291 Nº serie: Baioneta: 186291
31;133890;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 133890 Nº serie: Ferrolho e Impulssor do Ferrolho: 133890 Nº serie: Cano: 133890 Nº serie: Baioneta: 133890
32;135007;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 135007 Nº serie: Ferrolho e Impulssor do Ferrolho: 135007 Nº serie: Cano: 135007 Nº serie: Baioneta: 135007
33;278044;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 278044 Nº serie: Ferrolho e Impulssor do Ferrolho: 278044 Nº serie: Cano: 278044 Nº serie: Baioneta: 278044
34;180423;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 180423 Nº serie: Ferrolho e Impulssor do Ferrolho: 180423 Nº serie: Cano: 180423 Nº serie: Baioneta: 180423
35;215953;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 215953 Nº serie: Ferrolho e Impulssor do Ferrolho: 215953 Nº serie: Cano: 215953 Nº serie: Baioneta: 215953
36;179748;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 179748 Nº serie: Ferrolho e Impulssor do Ferrolho: 179748 Nº serie: Cano: 179748 Nº serie: Baioneta: 179748
37;267987;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 267987 Nº serie: Ferrolho e Impulssor do Ferrolho: 267987 Nº serie: Cano: 267987 Nº serie: Baioneta: 267987
38;158800;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 158800 Nº serie: Ferrolho e Impulssor do Ferrolho: 158800 Nº serie: Cano: 158800 Nº serie: Baioneta: 158800
39;206928;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 206928 Nº serie: Ferrolho e Impulssor do Ferrolho: 206928 Nº serie: Cano: 206928 Nº serie: Baioneta: 206928
40;144032;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 144032 Nº serie: Ferrolho e Impulssor do Ferrolho: 144032 Nº serie: Cano: 144032 Nº serie: Baioneta: 144032
41;177568;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 177568 Nº serie: Ferrolho e Impulssor do Ferrolho: 177568 Nº serie: Cano: 177568 Nº serie: Baioneta: 177568
42;136339;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 136339 Nº serie: Ferrolho e Impulssor do Ferrolho: 136339 Nº serie: Cano: 136339 Nº serie: Baioneta: 136339
43;166808;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 166808 Nº serie: Ferrolho e Impulssor do Ferrolho: 166808 Nº serie: Cano: 166808 Nº serie: Baioneta: 166808
44;114988;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 114988 Nº serie: Ferrolho e Impulssor do Ferrolho: 114988 Nº serie: Cano: 114988 Nº serie: Baioneta: 114988
45;118219;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 118219 Nº serie: Ferrolho e Impulssor do Ferrolho: 118219 Nº serie: Cano: 118219 Nº serie: Baioneta: 118219
46;242121;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 242121 Nº serie: Ferrolho e Impulssor do Ferrolho: 242121 Nº serie: Cano: 242121 Nº serie: Baioneta: 242121
47;267927;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 267927 Nº serie: Ferrolho e Impulssor do Ferrolho: 267927 Nº serie: Cano: 267927 Nº serie: Baioneta: 267927
48;140122;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 140122 Nº serie: Ferrolho e Impulssor do Ferrolho: 140122 Nº serie: Cano: 140122 Nº serie: Baioneta: 140122
49;100285;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 100285 Nº serie: Ferrolho e Impulssor do Ferrolho: 100285 Nº serie: Cano: 100285 Nº serie: Baioneta: 100285
50;123838;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 123838 Nº serie: Ferrolho e Impulssor do Ferrolho: 123838 Nº serie: Cano: 123838 Nº serie: Baioneta: 123838
51;197699;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 197699 Nº serie: Ferrolho e Impulssor do Ferrolho: 197699 Nº serie: Cano: 197699 Nº serie: Baioneta:197699
52;135460;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 135460 Nº serie: Ferrolho e Impulssor do Ferrolho: 135460 Nº serie: Cano: 135460 Nº serie: Baioneta: 135460
53;109581;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 109581 Nº serie: Ferrolho e Impulssor do Ferrolho: 109581 Nº serie: Cano: 109581 Nº serie: Baioneta: 109581
54;211373;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 211373 Nº serie: Ferrolho e Impulssor do Ferrolho: 211373 Nº serie: Cano: 211373 Nº serie: Baioneta: 211373
55;136699;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 136699 Nº serie: Ferrolho e Impulssor do Ferrolho: 136699 Nº serie: Cano: 136699 Nº serie: Baioneta: 136699
56;219664;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 219664 Nº serie: Ferrolho e Impulssor do Ferrolho: 219664 Nº serie: Cano: 219664 Nº serie: Baioneta: 219664
57;124946;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 124946 Nº serie: Ferrolho e Impulssor do Ferrolho: 124946 Nº serie: Cano: 124946 Nº serie: Baioneta: 124946
58;261189;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 261189 Nº serie: Ferrolho e Impulssor do Ferrolho: 261189 Nº serie: Cano: 261189 Nº serie: Baioneta: 261189
59;128549;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 128549 Nº serie: Ferrolho e Impulssor do Ferrolho: 128549 Nº serie: Cano: 128549 Nº serie: Baioneta: 128549
60;162076;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 162076 Nº serie: Ferrolho e Impulssor do Ferrolho: 162076 Nº serie: Cano: 162076 Nº serie: Baioneta: 162076
61;131762;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 131762 Nº serie: Ferrolho e Impulssor do Ferrolho: 131762 Nº serie: Cano: 131762 Nº serie: Baioneta: 131762
62;215954;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 215954 Nº serie: Ferrolho e Impulssor do Ferrolho: 215954 Nº serie: Cano: 215954 Nº serie: Baioneta: 215954
63;198996;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 198996 Nº serie: Ferrolho e Impulssor do Ferrolho: 198996 Nº serie: Cano: 198996 Nº serie: Baioneta: 198996
64;102791;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 102791 Nº serie: Ferrolho e Impulssor do Ferrolho: 102791 Nº serie: Cano: 102791 Nº serie: Baioneta: 102791
65;216780;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 216780 Nº serie: Ferrolho e Impulssor do Ferrolho: 216780 Nº serie: Cano: 216780 Nº serie: Baioneta: 216780
66;125507;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 125507 Nº serie: Ferrolho e Impulssor do Ferrolho: 125507 Nº serie: Cano: 125507 Nº serie: Baioneta: 125507
67;114074;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 114074 Nº serie: Ferrolho e Impulssor do Ferrolho: 114074 Nº serie: Cano: 114074 Nº serie: Baioneta: 114074
68;206333;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 206333 Nº serie: Ferrolho e Impulssor do Ferrolho: 206333 Nº serie: Cano: 206333 Nº serie: Baioneta: 206333
69;102219;7,62 MM;Para-FAL M964 A1 MD;IMBEL;Fuzil 7,62mm;Nº serie: da arma na Caixeta: 102219 Nº serie: Ferrolho e Impulssor do Ferrolho: 102219 Nº serie: Cano: 102219 Nº serie: Baioneta: 102219
